Task Name,Section/Column,Completed,Tags,Blocked By
dim_dates,Conformed Dimensions,TRUE,dim,
dim_locations,Conformed Dimensions,TRUE,dim,
dim_regions,Conformed Dimensions,TRUE,dim,
dim_school_calendars,Conformed Dimensions,TRUE,dim,
dim_terms,Conformed Dimensions,TRUE,dim,
dim_students,Students,TRUE,dim,
dim_student_enrollments,Students,TRUE,dim,
dim_student_contact_persons,Students,TRUE,dim,
bridge_student_contacts,Students,TRUE,bridge,
Students,Students,FALSE,cube,"dim_students,dim_student_enrollments,dim_student_contact_persons,bridge_student_contacts"
dim_courses,Courses,TRUE,dim,
dim_course_sections,Courses,TRUE,dim,
dim_student_section_enrollments,Courses,TRUE,dim,
bridge_course_section_teachers,Courses,TRUE,bridge,
bridge_course_section_terms,Courses,TRUE,bridge,
Courses,Courses,FALSE,cube,"dim_courses,dim_course_sections,dim_student_section_enrollments,bridge_course_section_teachers,bridge_course_section_terms"
dim_staff,Staff,TRUE,dim,
dim_staff_status,Staff,TRUE,dim,
dim_staff_work_assignments,Staff,TRUE,dim,
dim_work_assignment_jobs,Staff,TRUE,dim,
dim_work_assignment_locations,Staff,TRUE,dim,
dim_work_assignment_organizational_units,Staff,TRUE,dim,
dim_work_assignment_reporting_relationships,Staff,TRUE,dim,
dim_work_assignment_status,Staff,TRUE,dim,
dim_work_assignment_types,Staff,TRUE,dim,
fct_staff_attrition,Staff,TRUE,fct,
fct_staff_benefits_enrollments,Staff,TRUE,fct,
fct_staff_membership_enrollments,Staff,TRUE,fct,
fct_work_assignment_additional_earnings,Staff,TRUE,fct,
fct_work_assignment_compensation,Staff,TRUE,fct,
Staff,Staff,FALSE,cube,"dim_staff,dim_staff_status,dim_staff_work_assignments,dim_work_assignment_jobs,dim_work_assignment_locations,dim_work_assignment_organizational_units,dim_work_assignment_reporting_relationships,dim_work_assignment_status,dim_work_assignment_types,fct_staff_attrition,fct_staff_benefits_enrollments,fct_staff_membership_enrollments,fct_work_assignment_additional_earnings,fct_work_assignment_compensation"
dim_assessments,Assessment,TRUE,dim,
dim_assessment_comparisons,Assessment,TRUE,dim,
dim_assessment_targets,Assessment,TRUE,dim,
dim_student_assessment_expectations,Assessment,TRUE,dim,
fct_assessment_scores_enrollment_scoped,Assessment,TRUE,fct,
fct_assessment_scores_student_scoped,Assessment,TRUE,fct,
Assessment,Assessment,FALSE,cube,"dim_assessments,dim_assessment_comparisons,dim_assessment_targets,dim_student_assessment_expectations,fct_assessment_scores_enrollment_scoped,fct_assessment_scores_student_scoped"
dim_staff_observation_rubrics,Observation,TRUE,dim,
dim_staff_observation_types,Observation,TRUE,dim,
dim_staff_observation_expectations,Observation,TRUE,dim,
dim_staff_observation_rubric_measurements,Observation,TRUE,dim,
dim_staff_observation_microgoal_types,Observation,TRUE,dim,
fct_staff_observations,Observation,TRUE,fct,
fct_staff_observation_scores,Observation,TRUE,fct,
fct_staff_observation_microgoals,Observation,TRUE,fct,
Observation,Observation,FALSE,cube,"dim_staff_observation_rubrics,dim_staff_observation_types,dim_staff_observation_expectations,dim_staff_observation_rubric_measurements,dim_staff_observation_microgoal_types,fct_staff_observations,fct_staff_observation_scores,fct_staff_observation_microgoals"
dim_student_attendance_intervention_types,Attendance,TRUE,dim,
fct_student_attendance_daily,Attendance,TRUE,fct,
fct_student_attendance_interventions,Attendance,TRUE,fct,
fct_student_attendance_streaks,Attendance,TRUE,fct,
Attendance,Attendance,FALSE,cube,"dim_student_attendance_intervention_types,fct_student_attendance_daily,fct_student_attendance_interventions,fct_student_attendance_streaks"
fct_behavioral_incidents,Behavior,TRUE,fct,
fct_behavioral_consequences,Behavior,TRUE,fct,
fct_family_communications,Behavior,TRUE,fct,
Behavior,Behavior,FALSE,cube,"fct_behavioral_incidents,fct_behavioral_consequences,fct_family_communications"
fct_grades_assignments,Gradebook,TRUE,fct,
fct_grades_category,Gradebook,TRUE,fct,
fct_grades_term,Gradebook,TRUE,fct,
fct_grades_gpa,Gradebook,TRUE,fct,
Gradebook,Gradebook,FALSE,cube,"fct_grades_assignments,fct_grades_category,fct_grades_term,fct_grades_gpa"
dim_surveys,Survey,TRUE,dim,
dim_survey_administrations,Survey,TRUE,dim,
dim_survey_questions,Survey,TRUE,dim,
dim_survey_expectations,Survey,TRUE,dim,
bridge_survey_questions,Survey,TRUE,bridge,
fct_survey_responses,Survey,TRUE,fct,
fct_survey_submissions,Survey,TRUE,fct,
Survey,Survey,FALSE,cube,"dim_surveys,dim_survey_administrations,dim_survey_questions,dim_survey_expectations,bridge_survey_questions,fct_survey_responses,fct_survey_submissions"
dim_colleges,Postsecondary,TRUE,dim,
dim_college_enrollments,Postsecondary,TRUE,dim,
Postsecondary,Postsecondary,FALSE,cube,"dim_colleges,dim_college_enrollments"
dim_job_candidates,Talent Acquisition,TRUE,dim,
dim_job_postings,Talent Acquisition,TRUE,dim,
dim_staffing_positions,Talent Acquisition,TRUE,dim,
fct_job_candidate_applications,Talent Acquisition,TRUE,fct,
fct_support_tickets,Talent Acquisition,TRUE,fct,
Talent Acquisition,Talent Acquisition,FALSE,cube,"dim_job_candidates,dim_job_postings,dim_staffing_positions,fct_job_candidate_applications,fct_support_tickets"
